,Date,Open,High,Low,Close,Adj Close,Volume,weekday,shift_close
602,4/8/19,55.537998,56.231998,54.088001,54.639999,54.639999,52052000,0,54.992001
603,4/9/19,54.330002,55,53.922001,54.462002,54.462002,29520000,1,54.639999
604,4/10/19,55.348,55.675999,54.577999,55.212002,55.212002,35306500,2,54.462002
605,4/11/19,53.66,54.099998,53.119999,53.683998,53.683998,49179500,3,55.212002
606,4/12/19,54.043999,54.389999,53.366001,53.540001,53.540001,33730000,4,53.683998
607,4/15/19,53.726002,53.776001,51.726002,53.276001,53.276001,50193000,0,53.540001
608,4/16/19,53.150002,55,52.944,54.672001,54.672001,36364500,1,53.276001
609,4/17/19,54.950001,54.958,53.708,54.245998,54.245998,25632500,2,54.672001
610,4/18/19,54.245998,54.967999,53.950001,54.652,54.652,29381500,3,54.245998
611,4/22/19,53.799999,53.936001,52.495998,52.549999,52.549999,60735500,0,54.652
612,4/23/19,52.029999,53.119999,51.150002,52.779999,52.779999,54719500,1,52.549999
613,4/24/19,52.77,53.063999,51.599998,51.731998,51.731998,53637500,2,52.779999
614,4/25/19,51,51.799999,49.214001,49.526001,49.526001,109247000,3,51.731998
615,4/26/19,49.299999,49.335999,46.226002,47.028,47.028,111803500,4,49.526001
616,4/29/19,47.172001,48.796001,46.433998,48.293999,48.293999,83572500,0,47.028
617,4/30/19,48.411999,48.841999,47.400002,47.737999,47.737999,47323000,1,48.293999
618,5/1/19,47.77,48,46.299999,46.801998,46.801998,53522000,2,47.737999
619,5/2/19,49.104,49.425999,47.543999,48.82,48.82,90796500,3,46.801998
620,5/3/19,48.771999,51.321999,48.698002,51.006001,51.006001,118534000,4,48.82
621,5/6/19,50.004002,51.669998,49.700001,51.068001,51.068001,54169500,0,51.006001
622,5/7/19,51.360001,51.442001,49.02,49.411999,49.411999,50657000,1,51.068001
623,5/8/19,49.388,50.119999,48.84,48.967999,48.967999,30882000,2,49.411999
624,5/9/19,48.400002,48.736,47.388,48.396,48.396,33557000,3,48.967999
625,5/10/19,47.950001,48.397999,47.203999,47.903999,47.903999,35041500,4,48.396
626,5/13/19,46.402,46.493999,44.900002,45.402,45.402,54174000,0,47.903999
627,5/14/19,45.860001,46.900002,45.599998,46.462002,46.462002,36262000,1,45.402
628,5/15/19,45.863998,46.487999,45.049999,46.389999,46.389999,36480000,2,46.462002
629,5/16/19,45.897999,46.200001,45.299999,45.666,45.666,37416500,3,46.389999
630,5/17/19,44.391998,44.448002,41.784,42.206001,42.206001,88933500,4,45.666
631,5/20/19,40.560001,41.200001,39.049999,41.071999,41.071999,102631000,0,42.206001
632,5/21/19,39.551998,41.48,39.208,41.015999,41.015999,90019500,1,41.071999
633,5/22/19,39.82,40.787998,38.355999,38.546001,38.546001,93426000,2,41.015999
634,5/23/19,38.868,39.894001,37.243999,39.098,39.098,132735500,3,38.546001
635,5/24/19,39.966,39.995998,37.75,38.125999,38.125999,70683000,4,39.098
636,5/28/19,38.240002,39,37.57,37.740002,37.740002,51564500,1,38.125999
637,5/29/19,37.419998,38.478001,37.007999,37.972,37.972,59843000,2,37.740002
638,5/30/19,37.75,38.452,37.403999,37.644001,37.644001,39632500,3,37.972
