candle_begin_time,open,high,low,close,volume,signal,pos,equity_change,equity_curve
2018/9/17 3:00,223.3,223.3028347,222.5,222.93,4853.555868,,1,-0.00358842,2755.762144
2018/9/17 4:00,222.94,223.23,218.01,218.69,22514.75751,,1,-0.041269449,2642.033358
2018/9/17 5:00,218.74,220.19,216.64,219.57,18683.24283,,1,0.008934061,2665.637446
2018/9/17 6:00,219.51,219.98,218.32,219.06,5746.088801,,1,-0.005131846,2651.957804
2018/9/17 7:00,219.07,220.19,216.24,217.97,35480.03585,,1,-0.01102464,2622.720923
2018/9/17 8:00,217.97,217.97,214.07,216.344544,30822.56481,,1,-0.0166237,2579.121598
2018/9/17 9:00,216.35,220.58,212.4,220.2,102456.5382,,1,0.040096686,2682.535827
2018/9/17 10:00,220.1510064,222.1,218.89,219.55,84195.83865,,1,-0.006499387,2665.100989
2018/9/17 11:00,219.53,221.24,218.88,219.47,15238.4611,,1,-0.000805158,2662.955163
2018/9/17 12:00,219.47,219.48,216.75,217.25,23659.13597,,1,-0.022361126,2603.408488
2018/9/17 13:00,217.25,218.41,215.67,216.67,20089.83876,,1,-0.00597572,2587.851248
2018/9/17 14:00,216.6682878,217.2,212.45,214,59274.25809,,1,-0.027674291,2516.234301
2018/9/17 15:00,214.01,214.22,203,206.36,124430.1471,,1,-0.081441699,2311.307904
2018/9/17 16:00,206.2321932,208.56,204.93,204.99,49648.9071,,1,-0.015898908,2274.560631
2018/9/17 17:00,204.99,207.1,201.21,205.629868,59154.25678,,1,0.007545663,2291.723699
2018/9/17 18:00,205.63,206.88,202.04,204.61,33115.59001,,1,-0.011936754,2264.367957
2018/9/17 19:00,204.61,205.27,194.75,197.14,74569.71289,,1,-0.08848673,2064.001441
2018/9/17 20:00,197.1360306,197.14,192.5,194.85,79265.85968,,1,-0.029759802,2002.577168
2018/9/17 21:00,194.84,198.22,194.66,196.54,24581.24518,,1,0.02263612,2047.907745
2018/9/17 22:00,196.69,197.4,193.9,195.46,28082.41628,,1,-0.014145487,2018.939092
2018/9/17 23:00,195.46,198.29,195.45,196.03,22370.65906,,1,0.007572795,2034.228103
2018/9/18 0:00,196.03,197.36,193.88,196.71,15834.45611,,1,0.008966311,2052.467626
2018/9/18 1:00,196.71,197.9,196.27,197.39,8658.43021,,1,0.008886631,2070.707148
2018/9/18 2:00,197.39,197.45,195.57,196.8,15737.25081,,1,-0.007642543,2054.88168
2018/9/18 3:00,196.78,196.83,194.39,194.55,20377.62671,,1,-0.02936975,1994.53032
2018/9/18 4:00,194.55,197.01,194.06,196.5,31512.67063,,1,0.026223974,2046.834832
2018/9/18 5:00,196.5,198.77,196.33,197.52,16868.76261,,1,0.01336663,2074.194115
2018/9/18 6:00,197.46,198.1,196.52,197.64,14175.36664,,1,0.001551802,2077.412855
2018/9/18 7:00,197.64,200.84,197.49,200.11,26278.73295,,1,0.031891774,2143.665237
2018/9/18 8:00,200.11,200.8,196.48,197.25,17837.33693,,1,-0.035786038,2066.951952
2018/9/18 9:00,197.24,197.77,196.1,197.38,9842.864219,,1,0.001687009,2070.43892
2018/9/18 10:00,197.39,197.5,195.5,196.07,13925.8556,,1,-0.016971234,2035.301017
2018/9/18 11:00,196.06,199.86,195.3,199.67,25720.4505,,1,0.047443683,2131.863193
2018/9/18 12:00,199.68,222,198.38,207.7752036,118280.8828,,1,0.101978623,2349.267666
2018/9/18 13:00,207.7712132,213.86,207.77,211.74,49552.97858,,1,0.045268169,2455.614712
2018/9/18 14:00,211.73,212.69,210.08,211.12,25535.3503,,1,-0.006772297,2438.98456
2018/9/18 15:00,211.13,215,209,211.49,38006.95994,,1,0.004069089,2448.909005
2018/9/18 16:00,211.43,214.99,210.73,211.73,31431.06036,,1,0.002628713,2455.346484
2018/9/18 17:00,211.79,212.08,207.7,209.43,30568.09024,,1,-0.025125782,2393.653982
2018/9/18 18:00,209.4231681,210.99,208.27,209.71,12622.28685,,1,0.003137626,2401.164374
2018/9/18 19:00,209.7,210.3,206.04,206.9408774,21098.88717,,1,-0.0309332,2326.888677
2018/9/18 20:00,206.9408774,209.47,205.61,207.91,23943.23243,,1,0.011171402,2352.883286
2018/9/18 21:00,208,208.87,207.8,208.48,3782.848468,,1,0.00649799,2368.172297
2018/9/18 22:00,208.47,211.53,208.46,211.11,16943.98479,,1,0.029788388,2438.716331
2018/9/18 23:00,211.1,211.6,208.27,208.36,8054.474247,,1,-0.030246557,2364.953558
2018/9/19 0:00,208.36,209.29,207.51,208.22,6968.236519,,1,-0.001587852,2361.198362
2018/9/19 1:00,208.22,213.57,208.22,211.96,33737.67824,,1,0.042485788,2461.515734
2018/9/19 2:00,211.96,213.08,210.8,212.64,13164.93485,,1,0.007409874,2479.755256
2018/9/19 3:00,212.53,215.83,211.43,212.89,24888.55546,,1,0.002704181,2486.460963
2018/9/19 4:00,212.89,214,209.98,211.37,37725.67433,,1,-0.016397079,2445.690266
2018/9/19 5:00,211.36,212.17,211.21,211.6,4012.783172,,1,0.002522499,2451.859516
2018/9/19 6:00,211.61,212.99,211.49,211.75,5558.258089,,1,0.001640968,2455.88294
2018/9/19 7:00,211.6833442,211.69,209.47,211.52,7528.252572,,1,-0.002512029,2449.71369
2018/9/19 8:00,211.52,212.73,210.78,211.24,7395.781133,,1,-0.003065824,2442.203299
2018/9/19 9:00,211.23,211.24,207.01,208.51,22909.54479,,1,-0.029983711,2368.976982
2018/9/19 10:00,208.5,209.57,207.82,207.82,8044.258581,,1,-0.00781255,2350.469231
2018/9/19 11:00,207.82,208.65,204.44,205.44,28321.89117,,1,-0.027159823,2286.630903
2018/9/19 12:00,205.43,207.27,203.31,207.25,24400.89198,,1,0.021231812,2335.18022
2018/9/19 13:00,207.17,208.01,205.61,207.52,12735.16865,,1,0.003101329,2342.422383
2018/9/19 14:00,207.52,211.35,206.8,209.83,17066.74165,,1,0.026451562,2404.383113
2018/9/19 15:00,209.83,211.17,209.09,209.62,22520.27647,,1,-0.002342719,2398.750319
2018/9/19 16:00,209.6,210.47,207.8,209.56,18335.58479,,1,-0.00067092,2397.14095
